path,user,test,no_para,are_timestamps_distinct,initial_rows,final_rows,dropped_rows
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008d_test13_BES_13_03-09-2019/User008d_test13_BES_13_03-09-2019_recording0,8,13,5,True,16116,13375,2741
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008b_test5_BES_05_03-09-2019/User008b_test5_BES_05_03-09-2019_recording0,8,5,5,True,30039,24733,5306
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008a_test3_BDT_03_03-09-2019/User008a_test3_BDT_03_03-09-2019_recording0,8,3,5,True,13014,6456,6558
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test11_BDT_11_03-09-2019/User008c_test11_BDT_11_03-09-2019_recording0,8,11,5,True,12484,10746,1738
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test10_IDT_10_03-09-2019/User008c_test10_IDT_10_03-09-2019_recording0,8,10,5,True,16688,14243,2445
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test8_IET_08_03-09-2019/User008c_test8_IET_08_03-09-2019_recording0,8,8,5,True,22898,18097,4801
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test9_BET_09_03-09-2019/User008c_test9_BET_09_03-09-2019_recording0,8,9,5,True,16801,14413,2388
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003D_test15_BDS_15_30-08-2019/User003D_test15_BDS_15_30-08-2019_recording0,3,15,5,True,14790,13823,967
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test14_IDS_14_30-08-2019/User003C_test14_IDS_14_30-08-2019_recording0,3,14,5,True,4217,3820,397
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test1_BET_01_30-08-2019/User003_test1_BET_01_30-08-2019_recording0,3,1,5,True,11571,9849,1722
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test12_IES_12_30-08-2019/User003C_test12_IES_12_30-08-2019_recording0,3,12,5,True,5159,4775,384
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test2_IDT_02_30-08-2019/User003_test2_IDT_02_30-08-2019_recording0,3,2,5,True,9572,9427,145
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test13_BES_13_30-08-2019/User003C_test13_BES_13_30-08-2019_recording0,3,13,5,True,5127,4678,449
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test0_IET_00_30-08-2019/User003_test0_IET_00_30-08-2019_recording0,3,0,5,True,10155,9995,160
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test3_BDT_03_30-08-2019/User003_test3_BDT_03_30-08-2019_recording0,3,3,5,True,13287,13117,170
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test10_IDT_10_30-08-2019/User003C_test10_IDT_10_30-08-2019_recording0,3,10,5,True,12867,12208,659
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test9_BET_09_30-08-2019/User003C_test9_BET_09_30-08-2019_recording0,3,9,5,True,14778,13756,1022
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test11_BDT_11_30-08-2019/User003C_test11_BDT_11_30-08-2019_recording0,3,11,5,True,16687,13837,2850
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test7_BDS_07_30-08-2019/User003B_test7_BDS_07_30-08-2019_recording0,3,7,5,True,6669,6327,342
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test4_IES_04_30-08-2019/User003B_test4_IES_04_30-08-2019_recording0,3,4,5,True,5648,5272,376
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test6_IDS_06_30-08-2019/User003B_test6_IDS_06_30-08-2019_recording0,3,6,5,True,6798,6460,338
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test8_IET_08_30-08-2019/User003B_test8_IET_08_30-08-2019_recording0,3,8,5,True,5607,5351,256
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test5_BES_05_30-08-2019/User003B_test5_BES_05_30-08-2019_recording0,3,5,5,True,12988,12666,322
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test10_IDT_10_03-09-2019/User009c_test10_IDT_10_03-09-2019_recording0,9,10,5,True,17821,16982,839
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test11_BDT_11_03-09-2019/User009c_test11_BDT_11_03-09-2019_recording0,9,11,5,True,21444,20652,792
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test4_IES_04_03-09-2019/User009b_test4_IES_04_03-09-2019_recording0,9,4,5,True,18099,17759,340
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test2_IDT_02_03-09-2019/User009a_test2_IDT_02_03-09-2019_recording0,9,2,5,True,16148,15978,170
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test13_BES_13_03-09-2019/User009d_test13_BES_13_03-09-2019_recording0,9,13,5,True,14884,14032,852
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test1_BET_01_03-09-2019/User009a_test1_BET_01_03-09-2019_recording0,9,1,5,True,19211,19047,164
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test15_BDS_15_03-09-2019/User009d_test15_BDS_15_03-09-2019_recording0,9,15,5,True,14674,14028,646
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test7_BDS_07_03-09-2019/User009b_test7_BDS_07_03-09-2019_recording0,9,7,5,True,17744,17382,362
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test3_BDT_03_03-09-2019/User009a_test3_BDT_03_03-09-2019_recording0,9,3,5,True,12460,12379,81
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test5_BES_05_03-09-2019/User009b_test5_BES_05_03-09-2019_recording0,9,5,5,True,23479,23182,297
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test6_IDS_06_03-09-2019/User009b_test6_IDS_06_03-09-2019_recording0,9,6,5,True,20474,20100,374
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test14_IDS_14_03-09-2019/User009d_test14_IDS_14_03-09-2019_recording0,9,14,5,True,13387,12546,841
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test0_IET_00_03-09-2019/User009a_test0_IET_00_03-09-2019_recording0,9,0,5,True,13125,13016,109
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test12_IES_12_03-09-2019/User009d_test12_IES_12_03-09-2019_recording0,9,12,5,True,15464,14613,851
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test8_IET_08_03-09-2019/User009c_test8_IET_08_03-09-2019_recording0,9,8,5,True,20651,20086,565
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test9_BET_09_03-09-2019/User009c_test9_BET_09_03-09-2019_recording0,9,9,5,True,17710,17140,570
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test2_IDT_02_03-09-2019/User007a_test2_IDT_02_03-09-2019_recording0,7,2,5,True,12097,11758,339
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test4_IES_04_03-09-2019/User007b_test4_IES_04_03-09-2019_recording0,7,4,5,True,15098,14594,504
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test7_BDS_07_03-09-2019/User007b_test7_BDS_07_03-09-2019_recording0,7,7,5,True,10851,10497,354
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test1_BET_01_03-09-2019/User007a_test1_BET_01_03-09-2019_recording0,7,1,5,True,13195,12974,221
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test5_BES_05_03-09-2019/User007b_test5_BES_05_03-09-2019_recording0,7,5,5,True,14515,14015,500
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test3_BDT_03_03-09-2019/User007a_test3_BDT_03_03-09-2019_recording0,7,3,5,True,12883,11361,1522
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test0_IET_00_03-09-2019/User007a_test0_IET_00_03-09-2019_recording0,7,0,5,True,10362,9811,551
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test6_IDS_06_03-09-2019/User007b_test6_IDS_06_03-09-2019_recording0,7,6,5,True,6876,6504,372
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test13_BES_13_03-09-2019/User007d_test13_BES_13_03-09-2019_recording0,7,13,5,True,13945,12982,963
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test15_BDS_15_03-09-2019/User007d_test15_BDS_15_03-09-2019_recording0,7,15,5,True,11092,10134,958
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test14_IDS_14_03-09-2019/User007d_test14_IDS_14_03-09-2019_recording0,7,14,5,True,13758,12978,780
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test12_IES_12_03-09-2019/User007d_test12_IES_12_03-09-2019_recording0,7,12,5,True,10826,9951,875
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test10_IDT_10_03-09-2019/User007c_test10_IDT_10_03-09-2019_recording0,7,10,5,True,10623,9925,698
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test8_IET_08_03-09-2019/User007c_test8_IET_08_03-09-2019_recording0,7,8,5,True,17144,16489,655
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test11_BDT_11_03-09-2019/User007c_test11_BDT_11_03-09-2019_recording0,7,11,5,True,12480,11900,580
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test9_BET_09_03-09-2019/User007c_test9_BET_09_03-09-2019_recording0,7,9,5,True,11170,10443,727
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test10_IDT_10_30-08-2019/User002C_test10_IDT_10_30-08-2019_recording0,2,10,5,True,13758,12566,1192
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test11_BDT_11_30-08-2019/User002C_test11_BDT_11_30-08-2019_recording0,2,11,5,True,11883,10704,1179
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002D_test13_BES_13_30-08-2019/Uuer002D_test13_BES_13_30-08-2019_recording0,2,13,5,True,9320,7793,1527
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test9_BET_09_30-08-2019/User002C_test9_BET_09_30-08-2019_recording0,2,9,5,True,10145,8920,1225
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002D_test15_BDS_15_30-08-2019/Uuer002D_test15_BDS_15_30-08-2019_recording0,2,15,5,True,16118,14790,1328
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test12_IES_12_30-08-2019/User002C_test12_IES_12_30-08-2019_recording0,2,12,5,True,7618,6697,921
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002D_test14_IDS_14_30-08-2019/Uuer002D_test14_IDS_14_30-08-2019_recording0,2,14,5,True,8672,7227,1445
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test0_IET_00_30-08-2019/User002_test0_IET_00_30-08-2019_recording0,2,0,5,True,9994,9347,647
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test5_BES_05_30-08-2019/User002B_test5_BES_05_30-08-2019_recording0,2,5,5,True,9233,8342,891
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test8_IET_08_30-08-2019/User002B_test8_IET_08_30-08-2019_recording0,2,8,5,True,8032,7588,444
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test6_IDS_06_30-08-2019/User002B_test6_IDS_06_30-08-2019_recording0,2,6,5,True,12006,11240,766
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test3_BDT_03_30-08-2019/User002_test3_BDT_03_30-08-2019_recording0,2,3,5,True,12235,11593,642
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test4_IES_04_30-08-2019/User002B_test4_IES_04_30-08-2019_recording0,2,4,5,True,6705,5742,963
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test1_BET_01_30-08-2019/User002_test1_BET_01_30-08-2019_recording0,2,1,5,True,12961,10051,2910
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test2_IDT_02_30-08-2019/User002_test2_IDT_02_30-08-2019_recording0,2,2,5,True,14433,12290,2143
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test7_BDS_07_30-08-2019/User002B_test7_BDS_07_30-08-2019_recording0,2,7,5,True,11611,11076,535
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test4_IES_04_10-09-2019/User022d_test4_IES_04_10-09-2019_recording0,22,4,5,True,8691,7902,789
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test1_BET_01_10-09-2019/User022c_test1_BET_01_10-09-2019_recording0,22,1,5,True,9771,9108,663
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test2_IDT_02_10-09-2019/User022c_test2_IDT_02_10-09-2019_recording0,22,2,5,True,9061,8461,600
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test7_BDS_07_10-09-2019/User022d_test7_BDS_07_10-09-2019_recording0,22,7,5,True,5152,4571,581
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test0_IET_00_10-09-2019/User022c_test0_IET_00_10-09-2019_recording0,22,0,5,True,8869,8228,641
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test5_BES_05_10-09-2019/User022d_test5_BES_05_10-09-2019_recording0,22,5,5,True,8994,8207,787
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test6_IDS_06_10-09-2019/User022d_test6_IDS_06_10-09-2019_recording0,22,6,5,True,8010,7272,738
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test3_BDT_03_10-09-2019/User022c_test3_BDT_03_10-09-2019_recording0,22,3,5,True,7053,6529,524
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test8_IET_08_10-09-2019/User022a_test8_IET_08_10-09-2019_recording0,22,8,5,True,10653,10434,219
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test12_IES_12_10-09-2019/User022b_test12_IES_12_10-09-2019_recording0,22,12,5,True,13427,12979,448
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test14_IDS_14_10-09-2019/User022b_test14_IDS_14_10-09-2019_recording0,22,14,5,True,8861,8444,417
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test15_BDS_15_10-09-2019/User022b_test15_BDS_15_10-09-2019_recording0,22,15,5,True,8914,8504,410
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test13_BES_13_10-09-2019/User022b_test13_BES_13_10-09-2019_recording0,22,13,5,True,9742,9345,397
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test9_BET_09_10-09-2019/User022a_test9_BET_09_10-09-2019_recording0,22,9,5,True,11042,10831,211
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test10_IDT_10_10-09-2019/User022a_test10_IDT_10_10-09-2019_recording0,22,10,5,True,11624,11374,250
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test11_BDT_11_10-09-2019/User022a_test11_BDT_11_10-09-2019_recording0,22,11,5,True,6980,6771,209
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User021a_Group_Test_10-09-2019--11-31-45/User021b_test13_BES_13_10-09-2019/User021b_test13_BES_13_10-09-2019_recording0,21,13,5,True,6356,1131,5225
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019d_test7_BDS_07_06-09-2019/User019d_test7_BDS_07_06-09-2019_recording0,19,7,5,True,3411,2544,867
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019c_test2_IDT_02_06-09-2019/User019c_test2_IDT_02_06-09-2019_recording0,19,2,5,True,2171,1769,402
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019c_test1_BET_01_06-09-2019/User019c_test1_BET_01_06-09-2019_recording0,19,1,5,True,4643,3327,1316
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019d_test4_IES_04_06-09-2019/User019d_test4_IES_04_06-09-2019_recording0,19,4,5,True,1164,657,507
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019c_test3_BDT_03_06-09-2019/User019c_test3_BDT_03_06-09-2019_recording0,19,3,5,True,3072,2194,878
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019d_test6_IDS_06_06-09-2019/User019d_test6_IDS_06_06-09-2019_recording0,19,6,5,True,2813,1750,1063
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019d_test5_BES_05_06-09-2019/User019d_test5_BES_05_06-09-2019_recording0,19,5,5,True,6888,5476,1412
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019c_test0_IET_00_06-09-2019/User019c_test0_IET_00_06-09-2019_recording0,19,0,5,True,2944,2125,819
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019b_test12_IES_12_06-09-2019/User019b_test12_IES_12_06-09-2019_recording0,19,12,5,True,3878,2753,1125
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019b_test14_IDS_14_06-09-2019/User019b_test14_IDS_14_06-09-2019_recording0,19,14,5,True,2137,1794,343
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019b_test15_BDS_15_06-09-2019/User019b_test15_BDS_15_06-09-2019_recording0,19,15,5,True,3441,2572,869
/cs/home/ybk1/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019b_test13_BES_13_06-09-2019/User019b_test13_BES_13_06-09-2019_recording0,19,13,5,True,3974,2735,1239
